"mdbf1_pre","mdbf2_pre","mdbf3_pre","mdbf4_pre","mdbf5_pre","mdbf6_pre","mdbf7_pre","mdbf8_pre","mdbf9_pre","mdbf10_pre","mdbf11_pre","mdbf12_pre","lz","extra","vertr","gewis","neuro","offen","prok","nerd","grund","fach","ziel","wissen","therap","lerntyp","hand","job","ort","ort12","wohnen","uni1","uni2","uni3","uni4","attent_pre","gs_post","wm_post","ru_post","attent_post"
4,3,2,1,3,2,3,3,1,3,1,2,4.4,4,3.5,5,2,4.5,1.5,2.33333333333333,"Interesse und Berufsaussichten",4,2,5,5,1,2,1,1,2,1,0,1,0,0,6,4,3.75,3.75,6
2,3,2,2,2,2,1,2,2,3,2,3,4.4,3,4,3.5,4,3.5,1.6,2.83333333333333,"Wissenschaftliche Ergänzung zu meinen bisherigen Tätigkeiten (Arbeit in der psychiatrischen Akutpflege, Gestalttherapieausbildung), Psychotherapieausbildung",4,2,4,5,3,2,1,1,2,1,1,1,0,1,6,2.5,2.75,3.5,6
3,3,2,1,2,2,1,3,3,2,2,2,6.4,4,4,3.5,3.5,4,2.7,3.83333333333333,"Passt am besten zu mir",4,2,2,4,3,2,2,1,2,1,0,1,1,0,6,3.75,3,3,6
3,2,2,3,2,2,3,3,2,2,2,3,4.8,2.5,3,3.5,4.5,4,2.4,3.66666666666667,"Interessant, will mehr verstehen warum Menschen so sind wie sie sind und ihnen bei psychischen Erkrankungen helfen können",4,2,3,5,3,1,1,1,2,3,0,1,1,0,5,3.75,3.25,2.75,5
4,3,1,1,1,2,2,3,1,3,1,3,5.8,3,2,3.5,3.5,3,2.5,3.33333333333333,"Vielfalt des Studiums",2,1,4,4,3,2,2,1,2,4,0,1,1,0,5,3.5,3.25,3,5
3,1,4,2,2,2,1,2,2,1,3,2,2.6,1,2,3.5,5,3.5,2.3,3.33333333333333,"Interesse am Innenleben und den Gedanken und Handlungen von Menschen, selber früh Kontakt mit psychischen Krankheiten in der Familie gehabt. Wunsch schon früh, gewisse Phänomene zu verstehen",3,2,4,4,1,1,1,1,1,4,1,1,0,0,6,NA,NA,NA,NA
4,3,1,1,1,3,2,4,1,3,1,3,5.2,2.5,2.5,2,2,1.5,2.2,2.5,"Interesse, vielseitige Berufsaussichten ",4,2,4,5,1,2,1,1,2,1,0,1,0,0,6,3.75,3,3.5,6
3,2,3,1,3,2,3,2,2,3,2,3,5.4,3,2.5,3,2,3.5,2.6,3.83333333333333,"Ich bin sehr Interesse an Menschen verhalten ",4,2,4,5,2,2,1,1,2,3,1,0,0,0,5,NA,NA,NA,NA
1,2,3,3,3,1,4,2,4,1,4,2,1.4,1.5,2,3,5,4,3.6,4.16666666666667,"weiß ich nicht",1,4,2,5,3,2,1,2,2,1,1,1,0,0,6,1.25,1.25,2.25,6
3,2,3,2,4,2,3,2,4,2,2,2,4.8,3.5,3,3,4.5,4,3.4,3,"Interessant, viele Möglichkeiten",2,1,4,5,3,2,1,1,2,1,1,1,0,0,5,NA,NA,NA,NA
