"mdbf1" "mdbf2" "mdbf3" "mdbf4" "mdbf5" "mdbf6" "mdbf7" "mdbf8" "mdbf9" "mdbf10" "mdbf11" "mdbf12" "time_pre" "lz" "extra" "vertr" "gewis" "neuro" "offen" "prok" "nerd" "uni1" "uni2" "uni3" "uni4" "grund" "fach" "ziel" "wissen" "therap" "lerntyp" "hand" "job" "ort" "ort12" "wohnen" "attent" "gs_post" "wm_post" "ru_post" "time_post" "attent_post"
"1" 4 3 1 1 3 3 3 4 1 3 1 3 49 6.6 5 4 4 1.5 4 2.7 2.5 0 1 0 0 "Interesse an Menschen, Verhalten und Sozialdynamiken" 1 3 4 5 3 1 2 2 1 2 5 NA NA NA NA NA
"2" 3 2 1 1 1 3 3 4 2 3 1 4 68 4 4 3 4.5 3 4 2.5 2.33333333333333 0 1 0 0 "Ich will die Menschliche Psyche und menschliches Handeln, Denken verstehen." 3 2 3 4 1 2 1 2 2 3 4 3 2.25 2.25 34 5
"3" 3 3 1 1 3 3 2 3 1 3 1 3 107 5.2 3 3 4 3.5 4 2.9 2.83333333333333 0 1 1 1 NA 1 3 5 5 1 2 2 1 1 3 5 3.5 3 2.25 37 5
"4" 3 1 2 2 3 2 3 3 2 3 2 3 38 4 1.5 3 3.5 3.5 3.5 2.8 4 0 1 0 0 "Um Therapeutin zu werden und Menschen aus meiner früheren Situatuon zu helfen " 4 2 5 5 1 2 1 1 1 3 5 2.75 2.25 2.25 37 5
"5" 3 2 3 1 2 2 2 3 3 3 3 2 45 5 2.5 3.5 2.5 4.5 4.5 2.9 3.66666666666667 0 1 0 0 "Interesse an menschlichem Denken, Fühlen und Handeln" 4 2 4 5 1 2 1 1 2 3 5 2.5 2.5 2 51 5
"6" 2 2 1 3 4 3 4 2 2 2 2 2 100 4.4 4.5 2.5 4 3.5 4 2.7 2.66666666666667 0 1 1 0 "persönliches Interesse, viele spätere Berufsfelder möglich" 3 3 3 5 1 2 1 1 2 3 5 3 2.25 2.25 40 5
"7" 4 4 1 1 1 3 1 4 3 3 2 3 61 6.4 4 4 3.5 2.5 4 2.4 3.16666666666667 0 1 0 0 "Interessiert mich " 1 1 3 4 3 2 1 1 2 1 5 NA NA NA NA NA
"8" 2 3 2 1 2 3 4 3 3 2 1 2 40 4 2.5 2.5 3.5 3.5 4 2.5 2.66666666666667 0 1 1 0 NA 3 4 4 5 3 2 1 2 1 2 4 3.25 2.5 2.25 40 5
"9" 3 3 2 1 1 3 1 4 2 4 2 3 36 4.6 4 4.5 4 5 4.5 2.7 3.66666666666667 1 1 1 1 "Um mehr darüber zu erfahren, wie Menschen ticken & um später mit Menschen zu arbeiten" 1 4 5 4 3 1 2 1 2 1 4 3 3 2.75 30 5
"10" 4 4 1 1 1 4 1 4 1 4 1 4 40 6 3 3 5 2.5 3 2.6 1.83333333333333 0 1 1 0 "Therapeutin" 4 2 3 5 1 2 2 1 2 1 5 3.25 3.25 1.75 27 5
"11" 2 1 1 2 3 3 4 2 1 1 3 2 49 3.8 2.5 4 2.5 4.5 4 2.8 4.16666666666667 0 1 0 0 "Interesse am Verstehen von Menschen" 4 4 4 4 3 2 1 1 1 1 4 NA NA NA NA NA
"12" 3 2 4 1 2 3 3 3 1 3 1 3 35 3.4 2.5 4 2.5 4 4 2.3 4.16666666666667 1 1 0 1 NA 3 3 4 5 3 2 1 1 1 2 5 3.25 2.75 1.75 36 5
