"prok1" "prok2" "prok3" "prok4" "prok5" "prok6" "prok7" "prok8" "prok9" "prok10" "nr1" "nr2" "nr3" "nr4" "nr5" "nr6" "lz" "extra" "vertr" "gewis" "neuro" "intel" "nerd" "grund" "fach" "ziel" "lerntyp" "geschl" "job" "ort" "ort12" "wohnen" "uni1" "uni2" "uni3" "uni4"
"1" 1 3 4 2 3 4 3 3 1 3 1 3 5 4 4 3 5.4 2.75 3.75 4.25 4.25 4.75 2.66666666666667 "Interesse" 5 2 1 1 1 1 1 2 0 1 0 0
"2" 4 3 2 4 1 4 2 4 4 4 1 2 1 2 2 1 6 3.75 4.75 2.75 5 4 4 "Allgemeines Interesse schon seit der Kindheit" 4 2 1 2 2 1 1 2 0 1 0 0
"3" 3 3 2 4 2 4 2 3 4 3 4 5 5 5 5 5 3 4.25 4.5 3.75 4 5 4.33333333333333 "menschliche Kognition wichtig und rätselhaft; Interesse für Psychoanalyse; Schnittstelle zur Linguistik" 1 3 1 2 1 1 1 3 0 0 0 1
"4" 1 3 4 NA 4 3 4 4 2 2 2 4 4 4 4 3 6 4 4.75 4.25 2.25 4.75 3.16666666666667 "Psychoanalyse, Hilfsbereitschaft, Lebenserfahrung" 4 2 1 2 1 2 1 4 0 1 0 0
"5" 2 1 4 3 2 1 2 4 1 1 1 5 1 2 2 2 3.2 2.5 4.75 5 3.75 3.5 4.16666666666667 "Ich kann viel in Psychologie über mich und meine Mitmenschen lernen. " 2 2 1 1 1 2 1 2 0 1 0 0
"6" 2 4 2 2 3 2 3 2 1 3 1 4 3 4 3 1 5.8 3 3 4.25 3.25 3 3.66666666666667 "Interesse an dem Beruf des Therapeuten sowie an der Forschung" NA NA NA NA NA NA NA NA 0 0 0 0
"7" 2 2 3 2 3 2 3 3 2 1 1 3 3 4 4 1 4.2 2.75 3.25 4 3 4 3.83333333333333 "Einer von einigen Interessensbereichen mit dem man etwas beruflich anfangen kann; mit Philosophie oder Geschichte wird man halt arbeitslos" 1 1 3 2 2 2 1 2 0 0 0 0
"8" 3 1 2 3 3 3 3 3 2 4 5 5 5 5 5 5 NA 3.5 5 4.75 3.5 4 2.66666666666667 "Interesse dafür, warum Menschen so handeln oder denken, wie sie es tun" 4 2 2 1 1 1 1 1 1 1 1 0
"9" 2 3 2 3 4 2 3 4 3 1 2 4 5 3 4 2 5.4 4.75 4.5 4.5 4 5 3.5 "durch den Orientierungstest" 3 2 3 1 1 1 1 1 1 1 1 0
"10" 4 3 2 4 2 4 3 2 4 4 1 4 4 5 4 4 4.6 5 4.5 3 4.5 4.25 3.16666666666667 "Interesse und eigene Erfahrung" 4 2 1 1 1 1 1 3 1 1 1 0
"11" 2 3 3 1 3 2 3 4 2 1 3 4 4 4 3 3 4.8 2 3.75 4 3.25 3.25 3 "interessant und anspruchsvoll" 3 2 1 1 2 2 1 2 0 1 0 0
