Monat,Alternative für Deutschland: (Deutschland),Partei Mensch Umwelt Tierschutz: (Deutschland),Christlich Demokratische Union Deutschlands: (Deutschland),Marxistisch-Leninistische Partei Deutschlands: (Deutschland),Nationaldemokratische Partei Deutschlands: (Deutschland)
2004-01,<1,0,8,<1,2
2004-02,<1,0,10,<1,2
2004-03,<1,<1,9,<1,2
2004-04,<1,<1,9,<1,2
2004-05,<1,<1,11,<1,3
2004-06,<1,1,14,<1,4
2004-07,<1,<1,8,<1,2
2004-08,<1,0,8,<1,3
2004-09,<1,<1,16,1,15
2004-10,<1,<1,9,<1,7
2004-11,<1,<1,9,<1,5
2004-12,<1,<1,10,<1,4
2005-01,<1,<1,9,<1,8
2005-02,<1,<1,10,<1,12
2005-03,<1,0,9,<1,5
2005-04,<1,<1,11,<1,5
2005-05,<1,<1,17,<1,9
2005-06,<1,<1,16,<1,5
2005-07,<1,<1,17,<1,4
2005-08,<1,<1,23,1,6
2005-09,<1,1,40,2,18
2005-10,<1,<1,11,<1,4
2005-11,<1,<1,13,<1,4
2005-12,<1,<1,7,<1,3
2006-01,<1,<1,7,<1,3
2006-02,<1,<1,8,<1,3
2006-03,<1,<1,10,<1,4
2006-04,<1,<1,6,<1,4
2006-05,<1,<1,7,<1,5
2006-06,<1,<1,6,<1,4
2006-07,<1,<1,5,<1,3
2006-08,<1,<1,7,<1,5
2006-09,<1,<1,9,<1,12
2006-10,<1,<1,6,<1,6
2006-11,<1,<1,7,<1,7
2006-12,<1,<1,5,<1,4
2007-01,<1,<1,6,<1,4
2007-02,<1,<1,6,<1,5
2007-03,<1,<1,6,<1,4
2007-04,<1,0,5,<1,4
2007-05,<1,<1,6,<1,4
2007-06,<1,<1,5,<1,5
2007-07,<1,<1,5,<1,5
2007-08,<1,<1,5,<1,5
2007-09,<1,<1,7,<1,6
2007-10,<1,<1,6,<1,6
2007-11,<1,<1,7,<1,5
2007-12,<1,<1,6,<1,4
2008-01,<1,<1,11,<1,7
2008-02,<1,<1,8,<1,4
2008-03,<1,<1,6,<1,3
2008-04,<1,<1,6,<1,5
2008-05,<1,<1,6,<1,5
2008-06,<1,<1,6,<1,4
2008-07,<1,<1,4,<1,3
2008-08,<1,<1,5,<1,3
2008-09,<1,<1,7,<1,5
2008-10,<1,<1,6,<1,3
2008-11,<1,<1,6,<1,3
2008-12,<1,<1,6,<1,4
2009-01,<1,<1,8,<1,4
2009-02,<1,<1,7,<1,4
2009-03,<1,<1,8,<1,4
2009-04,<1,<1,7,<1,4
2009-05,<1,<1,10,<1,5
2009-06,<1,1,12,<1,5
2009-07,<1,<1,6,<1,3
2009-08,<1,<1,16,<1,8
2009-09,<1,1,27,2,14
2009-10,<1,<1,9,<1,4
2009-11,<1,<1,7,<1,3
2009-12,<1,<1,4,<1,2
2010-01,<1,<1,5,<1,2
2010-02,<1,<1,5,<1,2
2010-03,<1,<1,5,<1,2
2010-04,<1,<1,6,<1,3
2010-05,<1,<1,6,<1,3
2010-06,<1,<1,5,<1,3
2010-07,<1,<1,4,<1,2
2010-08,<1,<1,4,<1,2
2010-09,<1,<1,5,<1,3
2010-10,<1,<1,5,<1,2
2010-11,<1,<1,6,<1,2
2010-12,<1,<1,4,<1,2
2011-01,<1,<1,6,<1,3
2011-02,<1,<1,8,<1,4
2011-03,<1,<1,11,<1,6
2011-04,<1,<1,5,<1,3
2011-05,<1,<1,6,<1,3
2011-06,<1,<1,5,<1,3
2011-07,<1,<1,5,<1,3
2011-08,<1,<1,7,<1,4
2011-09,<1,<1,8,<1,6
2011-10,<1,<1,5,<1,3
2011-11,<1,<1,6,<1,6
2011-12,<1,<1,5,<1,4
2012-01,<1,<1,5,<1,3
2012-02,<1,<1,5,<1,3
2012-03,<1,<1,6,<1,4
2012-04,<1,<1,6,<1,3
2012-05,<1,<1,8,<1,3
2012-06,<1,<1,4,<1,2
2012-07,<1,<1,4,<1,2
2012-08,<1,<1,4,<1,3
2012-09,<1,<1,5,<1,2
2012-10,<1,<1,5,<1,2
2012-11,<1,<1,5,<1,2
2012-12,<1,<1,5,<1,3
2013-01,<1,<1,7,<1,3
2013-02,<1,<1,5,<1,3
2013-03,6,<1,5,<1,3
2013-04,11,<1,5,<1,3
2013-05,8,<1,5,<1,2
2013-06,5,<1,5,<1,2
2013-07,5,<1,4,<1,2
2013-08,12,<1,9,1,5
2013-09,45,1,25,1,14
2013-10,4,<1,6,<1,2
2013-11,3,<1,6,<1,2
2013-12,3,<1,5,<1,3
2014-01,3,<1,5,<1,2
2014-02,4,<1,6,<1,2
2014-03,5,<1,6,<1,2
2014-04,4,<1,7,<1,3
2014-05,16,1,12,1,6
2014-06,4,<1,4,<1,2
2014-07,3,<1,3,<1,2
2014-08,4,<1,3,<1,2
2014-09,13,<1,5,<1,3
2014-10,7,<1,4,<1,2
2014-11,5,<1,4,<1,2
2014-12,5,<1,5,<1,2
2015-01,7,<1,5,<1,2
2015-02,5,<1,5,<1,2
2015-03,4,<1,4,<1,1
2015-04,4,<1,4,<1,2
2015-05,5,<1,4,<1,2
2015-06,4,<1,4,<1,1
2015-07,8,<1,5,<1,1
2015-08,4,<1,4,<1,3
2015-09,7,<1,5,<1,3
2015-10,13,<1,5,<1,3
2015-11,14,<1,6,<1,3
2015-12,12,<1,6,<1,2
2016-01,22,<1,7,<1,3
2016-02,26,<1,8,<1,3
2016-03,53,<1,9,<1,6
2016-04,16,<1,5,<1,2
2016-05,20,<1,5,<1,2
2016-06,15,<1,4,<1,1
2016-07,14,<1,4,<1,1
2016-08,14,<1,5,<1,2
2016-09,32,<1,9,<1,2
2016-10,13,<1,5,<1,1
2016-11,15,<1,6,<1,1
2016-12,16,<1,6,<1,1
2017-01,16,<1,6,<1,3
2017-02,15,<1,5,<1,1
2017-03,14,<1,6,<1,1
2017-04,21,<1,5,1,1
2017-05,16,<1,10,1,1
2017-06,10,<1,6,<1,1
2017-07,12,<1,6,<1,1
2017-08,20,<1,9,1,1
2017-09,100,1,24,2,5
2017-10,20,<1,6,<1,1
2017-11,14,<1,6,<1,1
2017-12,15,<1,5,<1,1
2018-01,16,<1,6,<1,1
2018-02,20,<1,10,<1,1
2018-03,17,<1,5,<1,1
2018-04,13,<1,4,<1,1
2018-05,17,<1,4,<1,1
2018-06,18,<1,5,<1,1
2018-07,15,<1,4,<1,1
2018-08,16,<1,4,<1,1
2018-09,29,<1,6,<1,1
2018-10,30,<1,8,<1,1
2018-11,17,<1,10,<1,1
2018-12,15,<1,22,<1,1
2019-01,17,<1,5,<1,1
2019-02,12,<1,6,<1,1
2019-03,12,<1,6,<1,1
2019-04,14,<1,6,<1,1
2019-05,26,2,23,1,3
2019-06,15,<1,9,<1,1
2019-07,15,<1,4,<1,1
2019-08,16,<1,5,<1,1
2019-09,20,<1,6,<1,2
2019-10,13,<1,4,<1,1
