"Kategorie","Package","Verfügbar in: 4.5.2"
"daten","dplyr",TRUE
"daten","foreign",TRUE
"daten","haven",TRUE
"daten","ICC",TRUE
"daten","interactions",TRUE
"daten","knitr",TRUE
"daten","lme4",TRUE
"daten","metafor",TRUE
"daten","stringr",TRUE
"daten","yaml",TRUE
"extras","ggplot2",TRUE
"extras","knitr",TRUE
"lehre","afex",TRUE
"lehre","bootnet",TRUE
"lehre","car",TRUE
"lehre","carData",TRUE
"lehre","caret",TRUE
"lehre","clubSandwich",TRUE
"lehre","corpcor",TRUE
"lehre","corrplot",TRUE
"lehre","cranlogs",TRUE
"lehre","data.table",TRUE
"lehre","devtools",TRUE
"lehre","dplyr",TRUE
"lehre","EffectLiteR",TRUE
"lehre","effsize",TRUE
"lehre","ellipse",TRUE
"lehre","emmeans",TRUE
"lehre","esc",TRUE
"lehre","ez",TRUE
"lehre","ezCutoffs",TRUE
"lehre","FactoMineR",TRUE
"lehre","fitdistrplus",TRUE
"lehre","fontawesome",TRUE
"lehre","gapminder",TRUE
"lehre","ggh4x",TRUE
"lehre","ggplot2",TRUE
"lehre","ggthemes",TRUE
"lehre","githubinstall",FALSE
"lehre","glasso",TRUE
"lehre","GPArotation",TRUE
"lehre","gplots",TRUE
"lehre","graphicalVAR",TRUE
"lehre","gridExtra",TRUE
"lehre","haven",TRUE
"lehre","heplots",TRUE
"lehre","here",TRUE
"lehre","htmlTable",TRUE
"lehre","ICC",TRUE
"lehre","install",FALSE
"lehre","interactions",TRUE
"lehre","janitor",TRUE
"lehre","kableExtra",TRUE
"lehre","knitr",TRUE
"lehre","lavaan",TRUE
"lehre","lm.beta",TRUE
"lehre","lme4",TRUE
"lehre","lmerTest",TRUE
"lehre","lmtest",TRUE
"lehre","MASS",TRUE
"lehre","MatchIt",TRUE
"lehre","metafor",TRUE
"lehre","mgm",TRUE
"lehre","mlVAR",TRUE
"lehre","MVN",TRUE
"lehre","mvtnorm",TRUE
"lehre","nnet",TRUE
"lehre","olsrr",TRUE
"lehre","package",FALSE
"lehre","PackageA",FALSE
"lehre","PackageB",FALSE
"lehre","paket",FALSE
"lehre","papaja",TRUE
"lehre","patchwork",TRUE
"lehre","PCA",FALSE
"lehre","PCArt",FALSE
"lehre","performance",TRUE
"lehre","plot3D",TRUE
"lehre","plotly",TRUE
"lehre","ppcor",TRUE
"lehre","progress",TRUE
"lehre","psych",TRUE
"lehre","pwr",TRUE
"lehre","qgraph",TRUE
"lehre","questionr",TRUE
"lehre","reghelper",TRUE
"lehre","remotes",TRUE
"lehre","reshape2",TRUE
"lehre","Rmisc",TRUE
"lehre","robumeta",TRUE
"lehre","rococo",TRUE
"lehre","sampleSelection",TRUE
"lehre","sandwich",TRUE
"lehre","semPlot",TRUE
"lehre","sjmisc",TRUE
"lehre","sjPlot",TRUE
"lehre","stringr",TRUE
"lehre","summarytools",TRUE
"lehre","tibble",TRUE
"lehre","tidyr",TRUE
"lehre","tidyverse",TRUE
"lehre","tkmisc",FALSE
"lehre","UsingR",TRUE
"lehre","WebPower",TRUE
"projekte","ggplot2",TRUE
"projekte","knitr",TRUE
"projekte","rwhatsapp",TRUE
"projekte","udpipe",TRUE
"workshops","car",TRUE
"workshops","cowplot",TRUE
"workshops","datasauRus",TRUE
"workshops","devtools",TRUE
"workshops","dplyr",TRUE
"workshops","effsize",TRUE
"workshops","fontawesome",TRUE
"workshops","forcats",TRUE
"workshops","GGally",TRUE
"workshops","gganimate",TRUE
"workshops","ggplot2",TRUE
"workshops","ggridges",TRUE
"workshops","ggthemes",TRUE
"workshops","ggwordcloud",TRUE
"workshops","gridExtra",TRUE
"workshops","haven",TRUE
"workshops","interactions",TRUE
"workshops","jtools",TRUE
"workshops","knitr",TRUE
"workshops","lm.beta",TRUE
"workshops","lme4",TRUE
"workshops","lmerTest",TRUE
"workshops","lmtest",TRUE
"workshops","magick",TRUE
"workshops","maps",TRUE
"workshops","MuMIn",TRUE
"workshops","nlme",TRUE
"workshops","psych",TRUE
"workshops","readxl",TRUE
"workshops","rstudioapi",TRUE
"workshops","rvest",TRUE
"workshops","sandwich",TRUE
"workshops","sjPlot",TRUE
"workshops","skimr",TRUE
"workshops","tabplot",FALSE
"workshops","tidyr",TRUE
"workshops","tm",TRUE
